Date,Time,H,A,Team_Home,Team_Away,Note
24.07.2009,19:00,0,0,FK Teplice,Sparta Praha,
25.07.2009,16:00,2,1,Baník Ostrava,1. FK Příbram,
25.07.2009,18:15,1,1,Slavia Praha,FK Mladá Boleslav,
25.07.2009,20:00,2,3,1. FC Slovácko,Viktoria Plzeň,
25.07.2009,20:00,1,1,Slovan Liberec,SK Kladno,
26.07.2009,17:00,1,1,České Budějovice,FK Jablonec,
26.07.2009,17:00,0,2,Bohemians Praha,Sigma Olomouc,
27.07.2009,17:30,0,0,Bohemians 1905,Zbrojovka Brno,
31.07.2009,19:00,0,0,Sparta Praha,Bohemians 1905,
01.08.2009,18:15,2,2,Viktoria Plzeň,FK Teplice,
02.08.2009,17:00,0,2,SK Kladno,1. FK Příbram,
02.08.2009,17:00,0,2,Bohemians Praha,České Budějovice,
02.08.2009,17:00,4,1,FK Mladá Boleslav,Slovan Liberec,
02.08.2009,17:00,0,0,Sigma Olomouc,Baník Ostrava,
02.08.2009,17:00,2,0,Zbrojovka Brno,Slavia Praha,
03.08.2009,17:30,3,2,FK Jablonec,1. FC Slovácko,
08.08.2009,16:00,1,1,1. FK Příbram,Sparta Praha,
08.08.2009,18:15,1,0,Baník Ostrava,Viktoria Plzeň,
09.08.2009,16:00,0,1,Bohemians 1905,FK Jablonec,
09.08.2009,17:00,3,0,FK Teplice,České Budějovice,
09.08.2009,17:00,0,1,Slovan Liberec,Zbrojovka Brno,
09.08.2009,19:00,2,0,1. FC Slovácko,Sigma Olomouc,
09.08.2009,19:00,3,1,Slavia Praha,Bohemians Praha,
10.08.2009,17:30,1,3,SK Kladno,FK Mladá Boleslav,
14.08.2009,19:00,1,0,Zbrojovka Brno,1. FC Slovácko,
15.08.2009,18:00,2,0,Sparta Praha,SK Kladno,
15.08.2009,18:15,0,1,České Budějovice,Slavia Praha,
16.08.2009,17:00,1,3,Bohemians Praha,FK Teplice,
16.08.2009,17:00,2,0,FK Mladá Boleslav,1. FK Příbram,
16.08.2009,17:00,1,1,Sigma Olomouc,Bohemians 1905,
16.08.2009,17:00,2,3,Viktoria Plzeň,Slovan Liberec,
17.08.2009,17:30,2,1,FK Jablonec,Baník Ostrava,
22.08.2009,18:15,2,0,1. FC Slovácko,Bohemians Praha,
23.08.2009,17:00,1,1,FK Teplice,Slavia Praha,
23.08.2009,17:00,3,0,Slovan Liberec,České Budějovice,
23.08.2009,17:00,2,1,1. FK Příbram,Sigma Olomouc,
23.08.2009,17:00,0,1,Bohemians 1905,Viktoria Plzeň,
23.08.2009,17:00,1,2,SK Kladno,FK Jablonec,
23.08.2009,19:00,1,0,Sparta Praha,FK Mladá Boleslav,
24.08.2009,17:30,1,1,Baník Ostrava,Zbrojovka Brno,
29.08.2009,18:15,0,1,FK Mladá Boleslav,Bohemians 1905,
29.08.2009,20:00,1,0,Viktoria Plzeň,SK Kladno,
30.08.2009,17:00,1,2,České Budějovice,Baník Ostrava,
30.08.2009,17:00,0,0,FK Jablonec,1. FK Příbram,
30.08.2009,17:00,2,1,Bohemians Praha,Slovan Liberec,
31.08.2009,17:30,1,1,Sigma Olomouc,Sparta Praha,
31.08.2009,19:30,2,3,Zbrojovka Brno,FK Teplice,
31.08.2009,19:30,3,0,Slavia Praha,1. FC Slovácko,
12.09.2009,16:00,1,0,1. FK Příbram,Viktoria Plzeň,
12.09.2009,16:00,1,0,Baník Ostrava,Bohemians Praha,
12.09.2009,18:15,2,0,Sparta Praha,FK Jablonec,
12.09.2009,20:00,1,1,Slovan Liberec,Slavia Praha,
13.09.2009,17:00,2,0,Bohemians 1905,České Budějovice,
13.09.2009,17:00,1,0,SK Kladno,Zbrojovka Brno,
13.09.2009,19:00,0,2,1. FC Slovácko,FK Teplice,
14.09.2009,17:30,2,2,FK Mladá Boleslav,Sigma Olomouc,
19.09.2009,16:00,2,1,Viktoria Plzeň,FK Mladá Boleslav,
19.09.2009,18:15,2,1,FK Jablonec,Slovan Liberec,
20.09.2009,17:00,0,0,České Budějovice,1. FC Slovácko,
20.09.2009,17:00,1,0,Bohemians Praha,1. FK Příbram,
20.09.2009,17:00,1,0,FK Teplice,Bohemians 1905,
20.09.2009,17:00,1,2,Sigma Olomouc,SK Kladno,
21.09.2009,17:30,3,1,Slavia Praha,Baník Ostrava,
21.09.2009,19:30,1,1,Zbrojovka Brno,Sparta Praha,
26.09.2009,17:00,2,2,Baník Ostrava,FK Teplice,
26.09.2009,17:00,2,0,Slovan Liberec,1. FC Slovácko,
26.09.2009,17:00,0,0,Sparta Praha,Viktoria Plzeň,
26.09.2009,19:45,1,1,Bohemians 1905,Slavia Praha,
27.09.2009,17:00,3,1,1. FK Příbram,České Budějovice,
27.09.2009,17:00,3,2,SK Kladno,Bohemians Praha,
27.09.2009,17:00,0,1,Sigma Olomouc,FK Jablonec,
28.09.2009,17:30,0,0,FK Mladá Boleslav,Zbrojovka Brno,
